name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
김이남,2026-01-02,1,1,5,3,4 주회,3코너,주의
김일권,2024-04-28,16,3,2,7,5 주회,결승선전,주의
김일규,2022-07-23,29,2,8,2,5 주회,2코너,주의
김일규,2025-04-05,14,2,9,3,5 주회,BS,주의
김재국,2022-11-11,45,1,2,1,5 주회,1코너,주의
김재웅,2022-06-12,23,3,8,5,5 주회,BS,주의
김재웅,2023-01-06,1,1,8,2,5 주회,BS,주의
김재웅,2024-02-23,7,1,12,1,5 주회,BS,주의
김재환,2025-08-29,35,1,8,1,5 주회,BS,주의
김재훈,2022-12-30,52,1,3,1,5 주회,3코너,경고
김재훈,2023-05-05,18,1,11,5,5 주회,BS,주의
김재훈,2023-05-06,18,2,9,3,5 주회,BS,주의
김재훈,2023-05-12,19,1,8,1,5 주회,BS,주의
김재훈,2026-01-17,3,2,1,2,3 주회,4코너,주의
김정태,2023-02-26,8,3,6,7,5 주회,2코너,주의
김정훈,2022-07-30,30,2,7,3,5 주회,BS,주의
김정훈,2023-07-29,30,2,6,2,5 주회,BS,주의
김제영,2024-03-16,10,2,8,4,5 주회,1코너,주의
김종력,2022-08-15,32,4,10,4,5 주회,BS,주의
김종력,2025-08-30,35,2,14,2,5 주회,BS,주의
김종성,2026-02-06,6,1,12,2,5 주회,결승선전,경고
김종현,2022-03-27,12,3,8,1,5 주회,결승선전,경고
김종현,2023-10-13,40,1,9,3,5 주회,결승선전,주의
김주석,2022-01-28,4,1,9,1,5 주회,1코너,주의
김주석,2023-09-23,38,2,7,1,5 주회,1코너,경고
김주원,2025-04-20,16,3,7,1,5 주회,결승선전,주의
김주한,2022-03-25,12,1,7,7,5 주회,3코너,주의
김주한,2023-02-12,6,3,9,3,5 주회,1코너,주의
김주한,2023-05-01,17,4,10,1,4 주회,HS,주의
김주한,2025-04-25,17,1,9,5,5 주회,3코너,주의
김주한,2026-01-10,2,2,11,1,4 주회,HS,주의
김주호,2022-06-11,23,2,13,2,5 주회,BS,주의
김주호,2023-02-25,8,2,12,6,5 주회,1코너,주의
김주호,2024-11-29,47,1,10,1,5 주회,4코너,주의
